Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,NewTeamDeadline22
A.J. Alexy,TEX,25.2,60.2,-1.36,-0.0666666666666666,-6.533333333333334,No
A.J. Ladwig,MIA,17.1,80.0,-1.64,-0.2,0.0,No
A.J. Minter,ATL,30.71666666666667,67.21666666666667,2.1566666666666667,0.3333333333333333,29.33333333333333,No
A.J. Puk,OAK,30.883333333333336,61.68333333333334,-0.1916666666666666,0.0333333333333333,19.466666666666665,No
Aaron Ashby,MIL,31.65,60.833333333333336,-1.7016666666666669,0.15,15.916666666666666,No
Aaron Brooks,STL,31.2,62.8,-3.95,-0.2,11.6,No
Aaron Bummer,CHW,32.55,51.05,-0.3824999999999999,0.075,18.55,No
Aaron Civale,CLE,27.63333333333333,63.21666666666667,-1.3949999999999998,0.2166666666666666,18.1,No
Aaron Fletcher,PIT,26.55,52.6,-1.7500000000000002,-0.1,-1.4500000000000002,No
Aaron Loup,LAA,27.433333333333334,57.98333333333334,-0.4316666666666668,0.0499999999999999,12.116666666666667,No
Aaron Nola,PHI,32.38333333333333,70.2,4.491666666666666,1.05,25.666666666666668,No
Aaron Sanchez,WSN,25.7,63.65,-5.505,-0.05,7.2,Yes
Aaron Sanchez,MIN,25.35,59.6,-1.24,0.15,14.6,Yes
Adam Cimber,TOR,27.133333333333336,65.3,0.525,0.15,15.533333333333331,No
Adam Kolarek,OAK,21.8,49.400000000000006,0.005,-0.1,0.95,No
Adam Oller,OAK,21.633333333333336,60.23333333333333,-3.0683333333333334,-0.1666666666666666,1.6666666666666667,No
Adam Ottavino,NYM,32.75,59.91666666666666,1.8016666666666667,0.15,24.2,No
Adam Wainwright,STL,27.85,62.48333333333333,2.115,0.5000000000000001,11.066666666666668,No
Adbert Alzolay,CHC,31.6,75.0,0.93,0.5,32.7,No
Adonis Medina,NYM,23.53333333333333,66.23333333333333,-1.2583333333333335,-0.0166666666666666,20.23333333333333,No
Adrian Houser,MIL,23.9,57.86,-2.74,0.2,5.0200000000000005,No
Adrian Martinez,OAK,26.78,61.48,-2.992,-0.04,12.36,No
Adrian Morejon,SDP,23.925,60.6,0.5924999999999999,0.075,13.45,No
Adrian Sampson,CHC,22.16,52.16,2.306,0.3,10.42,No
Albert Abreu,NYY,26.5,53.86666666666667,-0.8466666666666667,0.0666666666666666,12.433333333333332,Yes
Albert Abreu,TEX,23.65,53.95,-0.95,-0.15,-3.95,Yes
Albert Abreu,- - -,29.8,54.1,1.34,0.0,5.4,Yes
